,content,pubtime,username,numlikes,id,vote,rootcmt
16,诺顿坎贝尔:贫穷是最恶毒的诅咒[吃瓜],1713424876,深海_沉眠,2,217417993904,2,0
17,就像你说的，穷人和病人的生育权利我们应该尊重，既然尊重人家，就让他们自己选择，天下父母大多都是爱自己孩子的，对孩子只是无私地奉献，并不要求回报,1713412508,东堡浪子刘三省,2,217392834896,-999,0
18,身体上的伤害只是一部分，更多得是生育之后男人的不负责任带来的折磨,1713408622,朝夜引,0,217385029424,2,0
19,我前段时间在考虑养只狗，后边一系列的问题就来了，我每天要上班，没时间陪伴狗狗，下班很累自己也就凑合凑合，根本不可能会留时间给狗狗，周末还好，万一狗生病，我还要花钱给他看病，而且宠物看病比人贵多了，万一很严重的病，但是花个几万能治好，我会选择治吗？考虑了种种问题，我选择不养，我没时间没有足够的责任心甚至没有钱，养狗只是为了陪伴我自己，而不是说我可以带给狗很好的生活，我知道自己很自私没办法负责，所以我选择不养。同样为了什么传宗接代而生孩子的人希望生之前同样考虑考虑这些问题。,1713403586,nori_SOBER,0,217376580448,-999,0
20,评论区就还真是不生的再说能为孩子带来什么，生的再说孩子能带来什么[笑哭],1713387813,黑猫浆,0,217363298160,-999,0
21,丁克群体对于生不生孩子都是尊重，并且一般都说自己不生孩子是因为给不了孩子好的生活。而生孩子的那帮人却总是喜欢催别人也生孩子，并且理由往往是孩子是养老，陪伴，家庭团圆，传宗接代这类咋一听正当理由，仔细一想全是利己的理由,1713360312,书海拾荒者,1,217322495712,-999,0
22,不生，因为自己目前的未来不是向上的，目前的现状在未来也会失去，养不了孩子,1713343602,山野的夏,0,217283938752,2,0
23,不想生因为我讨厌小孩 从小就讨厌[疼],1713331572,许星安,2,217262931696,2,0
24,我没有一个信心可以给我以后的孩子一个好的生活，如果我不能让她开心快乐的活着，想要的东西买不到，去进行这个社会毫无意义的内卷，不能让她学到想学的乐器，不能让她自由的去追求她的梦想，那真的没必要再给这个世界带来一个痛苦的生命。,1713326939,阿洛啊小洛,0,217252095760,2,0
25,"小时候，品德老师讲过一件事。一个上学期间的女生怀孕了和她男朋友退学了
女生数年没出过小区，为了家一直忙碌。男的出去打工，一天十二个小时起步。家里父母也为了养孩子各自找了工作，家里长辈都从乡下搬到城里带娃
一个孩子的降生，五对夫妻的忙碌",1713321970,紫夜陌羽,2,217242159520,-999,0
26,风水轮流转，当年是老一辈数落年轻人不生孩子晚景凄凉，现在是新一辈指责生孩子的毁了自己，屠龙者终成恶龙了属于是，其实大家有那么关心别人生不生孩子么？不过是流量密码和看热闹吃瓜罢了。不过不得不说8090是真的惨，年轻时不想生孩子被长辈怼，现在生了娃以为可以有资格说两句的时候又要被不想生孩子的小辈怼[妙啊],1713312114,0左右前后0,0,217227414768,-999,0
27,我挺喜欢孩子的，男孩女孩都喜欢，甚至都在脑补我该如何跟它们相处，但有时我就会莫名其妙的很伤心，然后我就会想，我活在这个世界上这么的痛苦，我的孩子以后会不会也会像我一样痛苦呢？,1713291163,笼里Lonely,0,217215882160,-999,0
28,我喜欢小孩，也会想生，但一定是自己有能力的情况下，并且只想给爱的人，爱我的人生，那种大男子主义，只需要女人子宫的，就算了,1713176589,lucky宝宝36,0,217009630016,2,0
29,我觉得我没办法做一个好母亲，因为首先我身边已经结婚生子的女生都会因为生育留下各种各样的身体后遗症，比如腰痛，比如脸上长斑，皮肤松弛，所以我觉得生育对女生的身体损伤太大了，还有就是我很怀疑我能不能教育好我的孩子，生孩子不是生下来任务就完成了，婴儿时期吃奶粉就开始了吞金，我这个条件实在养自己都费劲就别指望养自己的同时再养个娃了，等上了幼儿园，好的，公立的幼儿园怕排不上号，私立的幼儿园又要挑条件好的，条件好私立幼儿园大家都明白，一个字——贵，然后刚不用买奶粉了又要开始考虑幼儿园的钱，然后上小学初中，青春期孩子自我意识觉醒，可能又不想读书，早恋，然后我很容易就陷入一种误区，我花了这么多钱这么多心血把你养大，你还不听话？不行不能想了，越想越具体，我没当过一天家长，但我当过20多年孩子了,1713163738,萌萌哒蝎子,1,216984922960,2,0
30,我是三四线城市的普通家庭，一个娃。我婆婆挺希望我再生一个的，但是我和老公在金钱和精力上都负担不起，一个孩子已经花去了我们全部的精力和积蓄了，普通家庭，老一辈催生的话只听听就够了，毕竟张张嘴说两句话也不用负责任,1713163555,我怀念的那几年,0,216984595008,-999,0
31,我男的，我想生女儿[呲牙],1713143725,成都精神病四院何院长,0,216946371920,-999,0
32,繁殖癌急了,1713087783,永恒的赢,1,216857935904,-999,0
33,up是已婚还是未婚？我很好奇，非常好奇？,1713054573,光的色彩A,1,216783015568,-999,0
34,怒赞！,1713032840,晴天白日街溜子,0,216769081152,-999,0
35,当一个游戏又肝又氪，我是不会推荐新玩家入坑[doge],1713026852,宇智波阿尔特,4,216760148336,-999,0
36,可能，卖惨的人和我们并不是一个世界的人。那个世界有他们自己的规则。他们卖惨的样子有点像路边的乞丐，但你的视频更像是畸形秀，你说的都对，也确实很可悲，但把他们拉出来骂一顿换个好流量这事本身就挺缺德的。,1713020521,秋刀鱼它不想哭,2,216744913696,-999,0
37,其实挺可笑的，选择不生的人从来不劝生的人不要生，而生的人明明过得一地鸡毛，为了孩子一生奔波劳苦，却总劝不生的人赶紧生多生😂,1712994084,槑若玲,6,216678139152,-999,0
38,"个人ego认为 一对夫妻的话生孩子是很正常的 你不为自己也要为将来吧 如果因为害怕承担责任而不去做的话 老了会就更孤独 而且说句现实话 丁克的话你寄了之后 真的没有人会再记得你的 这就是风险 现在过得舒服 以后代价就一样大
没有人喜欢做囚鸟 但为了将来 再辛苦也没关系的 
这是我的个人观点 我也很佩服丁克的勇气 既然选择了 就走各自的路嘛 祝福 理解",1712918503,印度控球后卫Elodi,0,216546243248,1,0
39,生和不生都没错，但某些人群真的不配生孩子，局就是地狱难度，造孽,1712898053,我改了六次昵称才成功,2,216504395024,-999,0
40,如此具有反动言论的视频，你究竟是何目的！！举报了，一点不谈生孩子的好，巴不得一个不生是吧，什么成分啊你,1712896588,会说话的九龄,1,216500859248,-999,0
41,我生活不规律没办法遛狗，我就养蚕，桑叶都靠同事清明给我摘，我出去旅游还要我朋友帮我照顾蚕。97只蚕被我偷懒找野桑叶害死了5只，即使这样我早上也不能早起换桑叶，而我的朋友却是半夜可以起来换桑叶的人，所以我还是适合一个人活着，不可能照顾任何人，包括我自己[呲牙],1712891562,消失的知更鸟,1,216489752640,-999,0
42,对于那些穷人那些自私的人，生，恰恰是他们唯一的一次 能掌控别人命运的时候了。,1712838434,MrCays,3,216414557296,-999,0
43,又不是所有家长都开明，很多都是被逼无奈结婚生子的。,1712837273,羊门门25,0,216411879936,-999,0
44,共情的前提是被生下来并且安全活了下来,1712831066,我决定再试一次,0,216397087264,-999,0
45,我不喜欢小朋友，觉得太吵了,1712824984,这种事情真的让我觉得,2,216383886624,2,0
46,就纯纯不喜欢小孩子啊[酷仔][酷仔],1712802713,奥斯特诺言,2,216340370512,2,0
47,看情况，结婚是绝对不会的，不过要是我以后能小有资产又有时间精力的话，就去买颗优质精子，生个自己的孩子，要是没钱没闲的话，那就不造这个孽了,1712768723,恋着旧时光,2,216311168560,-999,0
48,我爸妈怕我老了没人照顾可真的谁照顾谁还不一定呢人家干嘛就得照顾我啊，你家是有多少车房让人继承，孩子不反对但是想到生下基本我就得给他考虑了，还是我自己花吧,1712763517,抱走一只肖兔兔,0,216300552832,-999,0
49,新婚姻法21条,1712724397,大撒旦是伟大,0,216215263136,-999,0
50,不结婚不生孩子，双胞胎，和妹妹互相陪伴,1712724047,乌尔比诺的讨厌鹦鹉,0,216214423808,2,0
51,人口都无法再生产的社会  怎么复兴,1712694016,卡拉金,1,216178738096,-999,0
52,我不喜欢小孩，本身自己精神状态就有问题，我都不敢想激素消退后我会做出什么举动出来,1712682273,Yuki_阿雪_,0,216170113616,2,0
53,别呀，各位。都不生了，我怎么有廉价劳动力呀？[脱单doge],1712677441,c君520s,4,216160619776,2,0
54,我认为生活中的痛苦大于快乐（人生不如意事十之八九）还不如让孩子感受不到任何痛苦、快乐，所以选择不生,1712673342,jcgugufugig,0,216150355952,-999,0
55,自然界的动物且会在环境不适宜生存的时候停止生育，这是基因里带来的遗传信息。难道我们连动物都不如了？,1712664151,bierbibi,0,216127880192,-999,0
56,点开up以为是李现,1712636185,大米爱吃锅包肉,0,216072089744,-999,0
57,不考虑在中国要孩子,1712590112,khoong,3,216022276800,2,0
58,"生是为了证明

爱存在的痕迹

火燃烧后更伟大的生命！！！！！！！！！！！！！！！！！！！！！！！！！！！",1712588453,樱桃花儿何时谢,0,216018074288,1,0
59,我好喜欢小鸟，我很想养一只小鸟，但我怕我的生活不稳定会影响它，怕我因为没有足够好的喂养技术与足够充足的饲养知识而害死它，所以直到我认为我已经做好充分的准备之前不会购买任何一只小鸟饲养。抚养宠物都需要饲主做足充分的准备，有的人抚养一个活生生的人却就跟玩一样随意,1712582358,xiaofendie,3,216002548576,-999,0
60,这个世界上已经不缺普通人了，还是不生了吧,1712578276,月狮,0,215993149792,2,0
61,我不想让世界上还有一个继承苦难的人,1712553917,慵懒白玫瑰,2,215945583920,2,0
62,养宠物都不敢，何况是孩子,1712551810,问就是我对,0,215941319664,2,0
63,我不觉得我的孩子愿意被生出来[笑哭],1712551114,ytbidledbx,0,215939691584,2,0
64,我已经有了，孩子咋说呢。如果18岁就能放手，前期投入不多，我建议生，但是现在的社会，我只能说全看自愿。不想生不生挺好的。,1712550325,长豆豆,0,215937676256,-999,0
65,不是生孩子毁掉一个人，是畸形的亲子关系毁掉的一个人。。。。up举例子白发苍苍的老爹供养自己的儿子，实际的就是畸形亲自关系的实例。。,1712550255,耿耿Joyce,0,215937490464,-999,0
66,总有人说没钱的人只要给孩子足够多的爱也能让孩子健康长大，寒门贵子那么多即便穷也能上好大学。但问题是不是所有穷人家的孩子都能被养的有情饮水饱，穷人家孩子考上名校需要付出更多的努力并且考上的很少。自己没钱没本事以后孩子想出息很困难，因为他们想出息只能靠自身的聪明有能力努力上进，但问题是不是所有孩子都具备聪明的脑子和努力精神，有钱的上补习班家教能把平庸懒惰的孩子的成绩培养成看的过去的，但孩子又笨又懒家里还没钱的就完了。有的穷人家孩子本身聪明又努力能靠自己考上好学校，但这些聪明努力的孩子如果拥有一个更好的家境可能会比纯靠自己努力更优秀。那些考上清北的寒门学子以他们的聪明努力程度别说生在有钱人家了，哪怕是生在普通的能给孩子出钱补习学特长的城市中产家庭也早就不止清北了。即便有的穷人能靠自己努力聪明考大学，但他们的孩子未必有他们的努力聪明，不一定能像他们那样纯靠个人能力，可能混的不如他们，平庸的孩子如果有足够的金钱支持会过的更容易。而且并不是所有的孩子都能养成只要有爱就够的性格脾气，光有所谓的爱没有足够的经济支持很大可能上不仅不会让孩子养成有情饮水饱艰苦朴素的性格，反而可能助长孩子的虚荣心，虽然也有不少质朴善良有爱就行的孩子，但也有很多是丫鬟小厮命长了一幅少爷小姐身子，这样的孩子用爱可感化不了。最操蛋的是穷人家的父母大多疲于奔波为家庭经济发愁，给孩子的陪伴很少，很有可能既给不了孩子钱又给不了孩子爱，那些吃绝户傍富婆的男的给有钱老男人当小三傍大款的女的大多数出身都不咋地，他们的穷爹妈可没有成功的用爱感化他们。,1712549595,IVY-1-1-1,1,215935988832,-999,0
67,我自己有孩子了，当别人说不想要孩子的时候我会支持她的想法，但也会告诉他生孩子的好处，就怕老了他说我是坏人（如果孩子教的还不错长大了孝顺一家子其乐融融就肯定会说我是坏人，如果孩子作孽肯定不会被说），自己生了叫别人不要生[笑哭][笑哭][笑哭],1712483479,悠哉悠哉就是我,0,215836318864,-999,0
68,我觉得你的言论有点极端，难道非要身价上亿才能生孩子？只要不鸡娃，不想着给他在一线城市买车买房，生育成本还好。你不生别攻击别人生的，过好你自己就行了。别人过的再不好有跑到你家门前要吃的吗？你家养宠物达不到王思聪的标准，就你这个意思是不是全世界其他百分之99的人都是在虐待动物？,1712470952,今晚月色真美酱,0,215813883952,-999,0
69,开头的那个男人好歹还是自己拼命劳作来挣钱。有的不但懒得工作，或者挣得不多，还要享受，还要老婆生儿子，老婆要工作养他养孩子还得伺候他的父母。,1712468406,擦同学,1,215809493920,-999,0
70,不生孩子，非必要的情况下婚都不想结。首先我知道自己没有那么大的责任心养好一个孩子，其次我很自私，不想因为生孩子毁了自己的身体,1712458710,面无表情的沐洛洛,1,215789098688,-999,0
71,我很喜欢小朋友，但是我很清楚自己不能生，因为我妈那边有家族遗传病，而我也有先天的疾病，虽然不影响寿命，但是真的很痛苦，我时常会痛恨我妈为什么要生育，自己有遗传病为什么要生孩子？因此我不愿意让我的孩子一生下来就感受到这些，即便我真的很喜欢小孩子,1712410373,一隻大榴莲,0,215727935904,-999,0
72,任何时候只要不是不生孩子就犯罪了，生孩子都是自己选择，所有的苦难自己闭嘴咽吧，我妈七八十年代就意识到穷不能多生，计划生育政策很好。老人都说养儿防老，我妈说那毁了孩子一生，多个孩子多份劳动力，可是孩子都没工资拿,1712402333,吃了没文化没见识的亏,1,215708833984,-999,0
73,时代不同没必要批判过去的人，每个人回到过去都只能做出一样的选择，如果这都不理解就过于狭隘了。针对现在的人就好了，比我年轻的还有先生孩子在结婚的呢，我00后，身边有钱的都单身，没钱的有的反而有孩子了，这种才是需要批判的对象。可能他们也是家庭原因导致缺乏关爱吧，才很早就结婚了，我就不太在意爱情什么的，但我是真的喜欢小孩，可能父母对我太好，人生梦想就是能让我的孩子一生没有压力开心的活着。话说回来，如果是家庭原因导致的思想不同，那么也没必要觉得他们有问题吧？只能归结到时代或者家庭因素，我生在他们家也会变成这样的人，反正他们的孩子也不是我的孩子，过的怎么样跟我无关。,1712394818,袜子只穿五指袜,1,215691229728,2,0
74,虽然和我无关 但是还是想说 这件事都是个人自由 没人有资格去干涉 一个人来到这世界 就是健健康康平平安安 能正常去工作社交就是最幸福的事 至于其他事随自己吧,1712375114,尤弥尔希斯托利亚,0,215647202240,-999,0
75,害怕進養老院 因為沒孩子被欺負的大可不必，想一想 從大哥大手提電話 到現在人工智能時代，才過了幾年，那等我們要住養老院的時候大概3、50年之後，世界將會發展成如何，應該都是人工智能機器人在伺候人，或者連人造子宮都有了，現在人人都能直播，遇到不平直播到網上 馬上就有警察審判~戲稱為微博斷案，到時候我們每天在養老院直播，哪個員工敢對著鏡頭虐待哦~   當然 想生就生，但不想生只是因為養老院虐待就勉強生 對誰都不好,1712369839,白色骑士哈鲁,0,215635839504,-999,0
76,我孩子现在十六岁，他现在的想法就是长大结婚不要孩子，我说随他，到时候他是成年人了，自己要为自己的决定负责任就好！我要是还年轻二十岁我连婚都不会结，别说要孩子了！,1712364304,Bianguohong,1,215626673664,-999,0
77,不生。我没有得到充沛的爱，活在情感里缺位的父亲以及暴躁母亲的生活里，而我从人生中了解到——自己无可避免地继承他们两个的缺点，我似无底洞般渴求着关注、宽容和爱，却不能把爱带给我的孩子。如此生活我不能祸害别人。,1712350066,AutumnCorpes,0,215617591232,2,0
78,我有遗传性的阿斯帕格综合征和躁郁症，一个被我爸遗传的一个被我妈遗传的，我真的是过着生不如死的日子，我爸妈就直接一句我们怎么知道生出来是这样的，就诋毁了我经历过的所有苦难,1712345320,肆杹,2,215615491568,-999,0
79,我是因为太了解自己了绝对不可能成为一个非常优秀甚至是合格的父母,1712330463,建个小号装萌新,0,215592652624,2,0
80,没钱没权不要生孩子 就这样,1712310629,出租車司機,0,215541484544,2,0
81,确实没钱养,1712291518,酱香藕片,0,215498626096,2,0
82,不想要女孩是觉得，担心无法保护好她，这个社会挺魔幻的，也并未真正男女平等过（这个男女问题不展开讨论）单从女性本身的角度出发，是无法全面保证能护她周全，学校还是社会方面，如果是个男孩子可能稍微好点吧，吃苦可以，别受伤害，并不是歧视女孩，我本身也是是女孩。,1712263867,甜味儿轰炸机,3,215461454800,-999,0
83,可是人一辈子就只有一次生命啊，活着就有希望，死了之后就绝望了。我的孩子是我生命的延续，只要活着就有希望。可能我孩子们不一定会过得好，可我真的不想死啊。,1712241938,真癌坤中黑,0,215431154656,1,0
84,我想要孩子，是因为我父母文化程度不高但自己大学尚可，我觉得在我成长过程中缺少了一些东西，我希望能有一个孩子，既是养育孩子也是完整自己，我认同人是社会关系的集合，我觉得生一个孩子能帮我找到自己的位置和与社会的联系，仅代表我的观点[OK],1712239345,上爷的车,0,215424037088,1,0
85,我现在连自己的生活都无法保障稳定，而且我还有很多坏习惯，我养的兔兔和鼠鼠我都没有给到它们满意的生活环境，这些我心知肚明。我自己都管理不好，更何况养孩子孩子，养一个活生生的人。算了吧,1712237424,嘿嘿了个黑黑,0,215419066624,2,0
86,已经生了一个女儿了，感觉之前的人生都白活了，真的是有了孩子以后才真正的感觉到我还活着，我很幸福。,1712232604,木兰无长x,1,215406885984,1,0
87,有钱生，没钱不生,1712162864,寒非玉,0,215294896816,2,0
88,很多人生孩子就是为了养老的，现在的情况，孩子很大可能不会给父母养老，因为他连自己都养不起。,1712149348,姜姜偷到月亮了吗,0,215261837008,2,0
89,20时候老子这辈子不婚不育，25时候结婚可以孩子打死也不生，30了就觉得生一个也行[喜极而泣]我就是这么一路过来的，所以我看我身边人说不结婚还是不生孩子我都觉得是正常的，想法有时候会随着年龄的增长和一些外界事物的干扰所改变，很正常的。,1712147813,收易拉罐罐,1,215258072144,-999,0
90,当今中国，教育、工作、恋爱无一不压力山大，真的不想把孩子带到这样的社会来,1712132636,Velody,1,215222285840,-999,0
91,"不生,因为没钱,没法给孩子点啥还会让自己痛苦为什么要生😐",1712076473,Vetuower,0,215151160752,-999,0
92,"不打算生，因为已经充分体会过没人关心自己开不开心是什么感觉，我从小就是个不哭不闹的孩子，给点玩具能自娱自乐半天，家长不给买的东西也不会哭着要，上学之后也是个好学生，父母每次聚餐都说我没怎么让他们操过心。直到毕业实习，领导跟我说“你就是太乖了”，我才恍然大悟。
长大之后想明白了，这个社会的规则就是弱肉强食，而诚实守信，听话乖巧，这类“美德”，只是方便家长老师管理，原本应该是美德的东西被人弃如敝履，嘲笑鄙夷，原本应该被舍弃的人性之恶，人们装出一副仁义道德的样子批判之，行动上却践行得无比坚定。大学时候参加了出国的项目，回国之后最明显的感觉就是仿佛进入了一个将要崩坏的高压锅（无论是生存压力，还是人与人之间的信任），当然，没多久就习惯了，但当年那一瞬间的震撼，我大概一辈子也不会忘记。
我没有能力让我的孩子在小学时候尽情玩耍，早早放学，也没能力提供足够多的经济支持，更没有人脉让孩子能顺利地得到一份体面的工作，我无法保证这个社会在孩子长大之后会变得包容，历史的惯性不会一瞬间消失，或许到时候也会有人没完没了地问她“不生孩子老了怎么办？”
我无法避免孩子经历我经历过的事，那我至少能不带她来到这个社会。
人类社会的本质仍然和动物一样，即为了生存资源竞争，要不然，那些生了孩子的，一天到晚在焦虑什么呢？",1712047030,MuVeちゃん,2,215083100144,2,0
93,要不要孩子总的来说都是为了自己。要孩子是为了养老，孩子能提供给父母安全感、指望孩子逆天改命赚大钱等等。不要孩子是怕疼、怕并发症、嫌孩子麻烦等等。很小一部分人才是喜欢孩子、怕自己照顾不好孩子而做出这样那样的选择。自私的人无论选择生还是不生，人生都不会有什么差别。,1712044047,小鬼似远点,0,215077826192,-999,0
94,生孩子对女性的损伤身体上这些都还是次要的，主要是脑会被重建，不仅会经历情绪风暴造成产后抑郁，还会使脑子体积缩小，记忆和专注力的脑区活力下降，变成以孩子为中心的思考模式，脑的一切改变都是围绕着怎么更好的照顾孩子，这种改变会渗透到你所有的行为逻辑中，你不知道你已经变了一个人，美国脑健康之父丹尼尔亚蒙的《女性脑》,1712035744,小白大白大白,0,215063970976,-999,0
95,不生，辛苦了半辈子，下半辈子不想增加苦难了。,1712034498,每天想退休的小赵,0,215061550160,-999,0
96,之前我会感觉这样女性荒谬！直到我到了适育年龄后，只会有两个结果，要不就都不生，要不就只生男娃。因为我受不了如果我生了个女孩，她从毕业进入社会就要被歧视，不在意能力面试要一直问谈恋爱了吗？打算什么时候结婚呀？(我毕业后这么问的HR占90%，之前我不懂后来我懂了就是因为女性的母职惩罚。)如果我的女孩问我:“为什么我只是领了个证，就被裁员了，裁员后连面试都没有就是因为回答了婚姻状况。”我该如何作答？我也一生要强，遇事找解决方法。但是突然发现我不管怎么绕都绕不开这个问题，因为我不可能让时光倒流，生活得一直走下去。[tv_鼓掌]但是是勇气快被消磨殆尽了,1712028267,雅致惜琉璃,1,215047633328,-999,0
97,简要说一项 饭菜是内服则补养而外敷就白费的东西 这是常理 鲜活的人生由来自孕育 断孕育不过自取灭亡也是常理 不知常理的文盲小人不如闭嘴听教,1712024990,不无风月,1,215041824496,-999,0
98,"我有一个孩子，以后不会再生了，因为养育好一个孩子，真的很辛苦。不能正常睡觉，不能正常工作，没有私人时间也没有私人空间，还要耐着性子应对幼儿的哭闹。即劳累又孤独。
其实就我身边认识的人里，但凡真正深度参与进到育儿活动中的人，不论男女，其实生育意愿都没有那么强烈的。育儿活动中带来的乐趣，跟辛苦相比，根本无法比拟。所谓的繁殖癌大约是没亲自带过孩子的，我同事之前因为孩子的事差点闹离婚，后来还是生了，但是孩子他带，妈妈挣钱去了。再问他还愿不愿意生，头摇得像拨浪鼓一样，连生这个也后悔不已~~就很搞笑🤡",1712024567,雪顶珍珠奶茶,0,215041110752,-999,0
99,我有孩子。想起他们我就觉得非常幸福。会为了他们努力工作赚钱，就是工作太忙没那么多时间陪伴他们，有点内疚。虽然也有辛苦焦虑的时候，但是总的来说看孩子是幸福开心的。,1712020059,奔跑的12斤花姐,0,215034030624,-999,0
100,我无法保证我的后代会不会走我的老路，所以不要孩子，不害他也不害自己,1712004436,排名第一的世界首富,0,215022986672,-999,0
101,因为不想他再重复我的路，不想他没有选择，也不想自己更操心，花时间精力金钱，无法提供一个美好的世界，也不想制造苦难,1711984798,胡菲菲i,1,215000526528,2,0
102,如果我是男性  我还是愿意要孩子的,1711969491,爸爸说我是蜗牛,0,214960994224,-999,0
103,生不了一点[2024愚人节_绿色doge],1711946853,宇宙超級無敵小可愛,0,214914948784,2,0
104,优生优育吧！理性生育,1711945993,不下毛毛雨,0,214912741680,-999,0
105,我自己赚那点钱，养自己都紧巴巴的，还要养狗，带狗狗去医院，每个月都口袋空空，没有钱养育小孩，谢谢,1711945808,星星枳火,0,214912207024,2,0
106,我的一个相亲对象家里有男有女8个！8个孩子！  卧槽，我到她家里是真穷啊[tv_思考][tv_思考][tv_思考]。结果就是孩子能得到的各方面资源基本没有。我至今也搞不懂为啥要那么多,1711892673,如果不是2次元,1,214837031360,-999,0
107,@X4PP0N,1711884351,Suomizz-,0,214817319056,-999,0
108,不从经济大环境说  搞不好又会陷入到群体对立中  养不起孩子  养孩子的消耗占据收入比例过大  是哪里的问题  是你们不努力 没有好好工作？,1711865531,大灯徒子,2,214775994928,-999,0
109,总而言之一句话：不想儿女来世界上当牛马，但是以自己的能力背景她/他只能当牛马,1711843880,SJDDT,4,214731499088,-999,0
110,我只要女儿，生儿子扔垃圾桶，生女儿开心，贼开心,1711836984,爱吃鸡的胖虎,0,214726345280,-999,0
111,单单是一个太麻烦，就能阻止我生孩子[笑哭],1711801902,烧鸡不嘎不充钱,2,214672893552,2,0
